Bonus,CARS,TRACKS,CHAMPS,ALLPRD,NODENT,EASYCAR
1361,RCVWYF,MZDOOY,ZVIRKV,MKWFFI,DUWDLS,USRFLG
1362,ZFMWYF,FBMOOY,DUWRKV,USRFFI,ZVIDLS,MKWFLG
1363,FBMWYF,ZFMOOY,USRRKV,DUWFFI,MKWDLS,ZVIFLG
1364,IFTWYF,YPJOOY,DHMRKV,LJQFFI,KUPDLS,ODCFLG
1365,YPJWYF,IFTOOY,LJQRKV,DHMFFI,ODCDLS,KUPFLG
1366,LSXWYF,WLNOOY,ODCRKV,KUPFFI,LJQDLS,DHMFLG
1367,WLNWYF,LSXOOY,KUPRKV,ODCFFI,DHMDLS,LJQFLG
1368,DHMWYF,LJQOOY,IFTRKV,YPJFFI,WLNDLS,LSXFLG
1369,LJQWYF,DHMOOY,YPJRKV,IFTFFI,LSXDLS,WLNFLG
1370,ODCWYF,KUPOOY,LSXRKV,WLNFFI,YPJDLS,IFTFLG
1371,KUPWYF,ODCOOY,WLNRKV,LSXFFI,IFTDLS,YPJFLG
1372,DDYWYF,NPXOOY,MJURKV,TLYFFI,OSADLS,RFIFLG
1373,NPXWYF,DDYOOY,TLYRKV,MJUFFI,RFIDLS,OSAFLG
1374,LWRWYF,USKOOY,RFIRKV,OSAFFI,TLYDLS,MJUFLG
1375,USKWYF,LWROOY,OSARKV,RFIFFI,MJUDLS,TLYFLG
1376,MJUWYF,TLYOOY,DDYRKV,NPXFFI,USKDLS,LWRFLG
1377,TLYWYF,MJUOOY,NPXRKV,DDYFFI,LWRDLS,USKFLG
1378,RFIWYF,OSAOOY,LWRRKV,USKFFI,NPXDLS,DDYFLG
1379,OSAWYF,RFIOOY,USKRKV,LWRFFI,DDYDLS,NPXFLG
1380,FNJWYF,IHHOOY,MMMRKV,LJLFFI,QTRDLS,LSDFLG
1381,IHHWYF,FNJOOY,LJLRKV,MMMFFI,LSDDLS,QTRFLG
1382,HZCWYF,SAFOOY,LSDRKV,QTRFFI,LJLDLS,MMMFLG
1383,SAFWYF,HZCOOY,QTRRKV,LSDFFI,MMMDLS,LJLFLG
1384,MMMWYF,LJLOOY,FNJRKV,IHHFFI,SAFDLS,HZCFLG
1385,LJLWYF,MMMOOY,IHHRKV,FNJFFI,HZCDLS,SAFFLG
1386,LSDWYF,QTROOY,HZCRKV,SAFFFI,IHHDLS,FNJFLG
1387,QTRWYF,LSDOOY,SAFRKV,HZCFFI,FNJDLS,IHHFLG
1388,BDVWYF,DJEOOY,MVQRKV,TLHFFI,CZIDLS,LUBFLG
1389,DJEWYF,BDVOOY,TLHRKV,MVQFFI,LUBDLS,CZIFLG
1390,XCCWYF,XQIOOY,LUBRKV,CZIFFI,TLHDLS,MVQFLG
1391,XQIWYF,XCCOOY,CZIRKV,LUBFFI,MVQDLS,TLHFLG
1392,MVQWYF,TLHOOY,BDVRKV,DJEFFI,XQIDLS,XCCFLG
1393,TLHWYF,MVQOOY,DJERKV,BDVFFI,XCCDLS,XQIFLG
1394,LUBWYF,CZIOOY,XCCRKV,XQIFFI,DJEDLS,BDVFLG
1395,CZIWYF,LUBOOY,XQIRKV,XCCFFI,BDVDLS,DJEFLG
1396,TMYWYF,XKIOOY,LQJRKV,EWVFFI,VIBDLS,OAPFLG
1397,XKIWYF,TMYOOY,EWVRKV,LQJFFI,OAPDLS,VIBFLG
1398,ZROWYF,FNZOOY,OAPRKV,VIBFFI,EWVDLS,LQJFLG
1399,FNZWYF,ZROOOY,VIBRKV,OAPFFI,LQJDLS,EWVFLG
1400,BAAXMF,FACZGF,HSBDLS,WOYFLG,VFCRKV,YUPFFI
1401,FACXMF,BAAZGF,WOYDLS,HSBFLG,YUPRKV,VFCFFI
1402,ZEUXMF,ZNZZGF,YUPDLS,VFCFLG,WOYRKV,HSBFFI
1403,ZNZXMF,ZEUZGF,VFCDLS,YUPFLG,HSBRKV,WOYFFI
1404,HSBXMF,WOYZGF,BAADLS,FACFLG,ZNZRKV,ZEUFFI
1405,WOYXMF,HSBZGF,FACDLS,BAAFLG,ZEURKV,ZNZFFI
1406,YUPXMF,VFCZGF,ZEUDLS,ZNZFLG,FACRKV,BAAFFI
1407,VFCXMF,YUPZGF,ZNZDLS,ZEUFLG,BAARKV,FACFFI
1408,IFFXMF,VKRZGF,YOODLS,FYWFLG,FGZRKV,FMXFFI
1409,VKRXMF,IFFZGF,FYWDLS,YOOFLG,FMXRKV,FGZFFI
1410,SLDXMF,GLFZGF,FMXDLS,FGZFLG,FYWRKV,YOOFFI
1411,GLFXMF,SLDZGF,FGZDLS,FMXFLG,YOORKV,FYWFFI
1412,YOOXMF,FYWZGF,IFFDLS,VKRFLG,GLFRKV,SLDFFI
1413,FYWXMF,YOOZGF,VKRDLS,IFFFLG,SLDRKV,GLFFFI
1414,FMXXMF,FGZZGF,SLDDLS,GLFFLG,VKRRKV,IFFFFI
1415,FGZXMF,FMXZGF,GLFDLS,SLDFLG,IFFRKV,VKRFFI
1416,SHHXMF,FZYZGF,YHYDLS,PLSFLG,JCXRKV,URVFFI
1417,FZYXMF,SHHZGF,PLSDLS,YHYFLG,URVRKV,JCXFFI
1418,LWHXMF,RWMZGF,URVDLS,JCXFLG,PLSRKV,YHYFFI
1419,RWMXMF,LWHZGF,JCXDLS,URVFLG,YHYRKV,PLSFFI
1420,YHYXMF,PLSZGF,SHHDLS,FZYFLG,RWMRKV,LWHFFI
1421,PLSXMF,YHYZGF,FZYDLS,SHHFLG,LWHRKV,RWMFFI
1422,URVXMF,JCXZGF,LWHDLS,RWMFLG,FZYRKV,SHHFFI
1423,JCXXMF,URVZGF,RWMDLS,LWHFLG,SHHRKV,FZYFFI
1424,LJFXMF,LEZZGF,RBBDLS,NIQFLG,AERRKV,PYGFFI
1425,LEZXMF,LJFZGF,NIQDLS,RBBFLG,PYGRKV,AERFFI
1426,HXUXMF,JDRZGF,PYGDLS,AERFLG,NIQRKV,RBBFFI
1427,JDRXMF,HXUZGF,AERDLS,PYGFLG,RBBRKV,NIQFFI
1428,RBBXMF,NIQZGF,LJFDLS,LEZFLG,JDRRKV,HXUFFI
1429,NIQXMF,RBBZGF,LEZDLS,LJFFLG,HXURKV,JDRFFI
1430,PYGXMF,AERZGF,HXUDLS,JDRFLG,LEZRKV,LJFFFI
1431,AERXMF,PYGZGF,JDRDLS,HXUFLG,LJFRKV,LEZFFI
1432,EFIXMF,BQYZGF,TYKDLS,UNTFLG,PVARKV,IEMFFI
1433,BQYXMF,EFIZGF,UNTDLS,TYKFLG,IEMRKV,PVAFFI
1434,MCWXMF,AHHZGF,IEMDLS,PVAFLG,UNTRKV,TYKFFI
1435,AHHXMF,MCWZGF,PVADLS,IEMFLG,TYKRKV,UNTFFI
1436,TYKXMF,UNTZGF,EFIDLS,BQYFLG,AHHRKV,MCWFFI
1437,UNTXMF,TYKZGF,BQYDLS,EFIFLG,MCWRKV,AHHFFI
1438,IEMXMF,PVAZGF,MCWDLS,AHHFLG,BQYRKV,EFIFFI
1439,PVAXMF,IEMZGF,AHHDLS,MCWFLG,EFIRKV,BQYFFI
1440,FCMXMF,OKTZGF,ZUPDLS,AFFFLG,UYRRKV,HKAFFI
1441,OKTXMF,FCMZGF,AFFDLS,ZUPFLG,HKARKV,UYRFFI
1442,JOYXMF,LTNZGF,HKADLS,UYRFLG,AFFRKV,ZUPFFI
1443,LTNXMF,JOYZGF,UYRDLS,HKAFLG,ZUPRKV,AFFFFI
1444,ZUPXMF,AFFZGF,FCMDLS,OKTFLG,LTNRKV,JOYFFI
1445,AFFXMF,ZUPZGF,OKTDLS,FCMFLG,JOYRKV,LTNFFI
1446,HKAXMF,UYRZGF,JOYDLS,LTNFLG,OKTRKV,FCMFFI
1447,UYRXMF,HKAZGF,LTNDLS,JOYFLG,FCMRKV,OKTFFI
1448,CDFXMF,FAEZGF,NSCDLS,ARRFLG,OLDRKV,KSLFFI
1449,FAEXMF,CDFZGF,ARRDLS,NSCFLG,KSLRKV,OLDFFI
1450,ZJEXMF,DDZZGF,KSLDLS,OLDFLG,ARRRKV,NSCFFI
1451,DDZXMF,ZJEZGF,OLDDLS,KSLFLG,NSCRKV,ARRFFI
1452,NSCXMF,ARRZGF,CDFDLS,FAEFLG,DDZRKV,ZJEFFI
1453,ARRXMF,NSCZGF,FAEDLS,CDFFLG,ZJERKV,DDZFFI
1454,KSLXMF,OLDZGF,ZJEDLS,DDZFLG,FAERKV,CDFFFI
1455,OLDXMF,KSLZGF,DDZDLS,ZJEFLG,CDFRKV,FAEFFI
1456,MKWXMF,ZVIZGF,MZDDLS,RCVFLG,FBMRKV,ZFMFFI
1457,ZVIXMF,MKWZGF,RCVDLS,MZDFLG,ZFMRKV,FBMFFI
1458,DUWXMF,USRZGF,ZFMDLS,FBMFLG,RCVRKV,MZDFFI
1459,USRXMF,DUWZGF,FBMDLS,ZFMFLG,MZDRKV,RCVFFI
1460,MZDXMF,RCVZGF,MKWDLS,ZVIFLG,USRRKV,DUWFFI
1461,RCVXMF,MZDZGF,ZVIDLS,MKWFLG,DUWRKV,USRFFI
1462,ZFMXMF,FBMZGF,DUWDLS,USRFLG,ZVIRKV,MKWFFI
1463,FBMXMF,ZFMZGF,USRDLS,DUWFLG,MKWRKV,ZVIFFI
1464,IFTXMF,YPJZGF,DHMDLS,LJQFLG,KUPRKV,ODCFFI
1465,YPJXMF,IFTZGF,LJQDLS,DHMFLG,ODCRKV,KUPFFI
1466,LSXXMF,WLNZGF,ODCDLS,KUPFLG,LJQRKV,DHMFFI
1467,WLNXMF,LSXZGF,KUPDLS,ODCFLG,DHMRKV,LJQFFI
1468,DHMXMF,LJQZGF,IFTDLS,YPJFLG,WLNRKV,LSXFFI
1469,LJQXMF,DHMZGF,YPJDLS,IFTFLG,LSXRKV,WLNFFI
1470,ODCXMF,KUPZGF,LSXDLS,WLNFLG,YPJRKV,IFTFFI
1471,KUPXMF,ODCZGF,WLNDLS,LSXFLG,IFTRKV,YPJFFI
1472,DDYXMF,NPXZGF,MJUDLS,TLYFLG,OSARKV,RFIFFI
1473,NPXXMF,DDYZGF,TLYDLS,MJUFLG,RFIRKV,OSAFFI
1474,LWRXMF,USKZGF,RFIDLS,OSAFLG,TLYRKV,MJUFFI
1475,USKXMF,LWRZGF,OSADLS,RFIFLG,MJURKV,TLYFFI
1476,MJUXMF,TLYZGF,DDYDLS,NPXFLG,USKRKV,LWRFFI
1477,TLYXMF,MJUZGF,NPXDLS,DDYFLG,LWRRKV,USKFFI
1478,RFIXMF,OSAZGF,LWRDLS,USKFLG,NPXRKV,DDYFFI
1479,OSAXMF,RFIZGF,USKDLS,LWRFLG,DDYRKV,NPXFFI
1480,FNJXMF,IHHZGF,MMMDLS,LJLFLG,QTRRKV,LSDFFI
1481,IHHXMF,FNJZGF,LJLDLS,MMMFLG,LSDRKV,QTRFFI
1482,HZCXMF,SAFZGF,LSDDLS,QTRFLG,LJLRKV,MMMFFI
1483,SAFXMF,HZCZGF,QTRDLS,LSDFLG,MMMRKV,LJLFFI
1484,MMMXMF,LJLZGF,FNJDLS,IHHFLG,SAFRKV,HZCFFI
1485,LJLXMF,MMMZGF,IHHDLS,FNJFLG,HZCRKV,SAFFFI
1486,LSDXMF,QTRZGF,HZCDLS,SAFFLG,IHHRKV,FNJFFI
1487,QTRXMF,LSDZGF,SAFDLS,HZCFLG,FNJRKV,IHHFFI
1488,BDVXMF,DJEZGF,MVQDLS,TLHFLG,CZIRKV,LUBFFI
1489,DJEXMF,BDVZGF,TLHDLS,MVQFLG,LUBRKV,CZIFFI
1490,XCCXMF,XQIZGF,LUBDLS,CZIFLG,TLHRKV,MVQFFI
1491,XQIXMF,XCCZGF,CZIDLS,LUBFLG,MVQRKV,TLHFFI
1492,MVQXMF,TLHZGF,BDVDLS,DJEFLG,XQIRKV,XCCFFI
1493,TLHXMF,MVQZGF,DJEDLS,BDVFLG,XCCRKV,XQIFFI
1494,LUBXMF,CZIZGF,XCCDLS,XQIFLG,DJERKV,BDVFFI
1495,CZIXMF,LUBZGF,XQIDLS,XCCFLG,BDVRKV,DJEFFI
1496,TMYXMF,XKIZGF,LQJDLS,EWVFLG,VIBRKV,OAPFFI
1497,XKIXMF,TMYZGF,EWVDLS,LQJFLG,OAPRKV,VIBFFI
1498,ZROXMF,FNZZGF,OAPDLS,VIBFLG,EWVRKV,LQJFFI
1499,FNZXMF,ZROZGF,VIBDLS,OAPFLG,LQJRKV,EWVFFI
1500,BAAZGF,FACXMF,HSBFLG,WOYDLS,VFCFFI,YUPRKV
1501,FACZGF,BAAXMF,WOYFLG,HSBDLS,YUPFFI,VFCRKV
1502,ZEUZGF,ZNZXMF,YUPFLG,VFCDLS,WOYFFI,HSBRKV
1503,ZNZZGF,ZEUXMF,VFCFLG,YUPDLS,HSBFFI,WOYRKV
1504,HSBZGF,WOYXMF,BAAFLG,FACDLS,ZNZFFI,ZEURKV
1505,WOYZGF,HSBXMF,FACFLG,BAADLS,ZEUFFI,ZNZRKV
1506,YUPZGF,VFCXMF,ZEUFLG,ZNZDLS,FACFFI,BAARKV
1507,VFCZGF,YUPXMF,ZNZFLG,ZEUDLS,BAAFFI,FACRKV
1508,IFFZGF,VKRXMF,YOOFLG,FYWDLS,FGZFFI,FMXRKV
1509,VKRZGF,IFFXMF,FYWFLG,YOODLS,FMXFFI,FGZRKV
1510,SLDZGF,GLFXMF,FMXFLG,FGZDLS,FYWFFI,YOORKV
1511,GLFZGF,SLDXMF,FGZFLG,FMXDLS,YOOFFI,FYWRKV
1512,YOOZGF,FYWXMF,IFFFLG,VKRDLS,GLFFFI,SLDRKV
1513,FYWZGF,YOOXMF,VKRFLG,IFFDLS,SLDFFI,GLFRKV
1514,FMXZGF,FGZXMF,SLDFLG,GLFDLS,VKRFFI,IFFRKV
1515,FGZZGF,FMXXMF,GLFFLG,SLDDLS,IFFFFI,VKRRKV
1516,SHHZGF,FZYXMF,YHYFLG,PLSDLS,JCXFFI,URVRKV
1517,FZYZGF,SHHXMF,PLSFLG,YHYDLS,URVFFI,JCXRKV
1518,LWHZGF,RWMXMF,URVFLG,JCXDLS,PLSFFI,YHYRKV
1519,RWMZGF,LWHXMF,JCXFLG,URVDLS,YHYFFI,PLSRKV
1520,YHYZGF,PLSXMF,SHHFLG,FZYDLS,RWMFFI,LWHRKV
1521,PLSZGF,YHYXMF,FZYFLG,SHHDLS,LWHFFI,RWMRKV
1522,URVZGF,JCXXMF,LWHFLG,RWMDLS,FZYFFI,SHHRKV
1523,JCXZGF,URVXMF,RWMFLG,LWHDLS,SHHFFI,FZYRKV
1524,LJFZGF,LEZXMF,RBBFLG,NIQDLS,AERFFI,PYGRKV
1525,LEZZGF,LJFXMF,NIQFLG,RBBDLS,PYGFFI,AERRKV
1526,HXUZGF,JDRXMF,PYGFLG,AERDLS,NIQFFI,RBBRKV
1527,JDRZGF,HXUXMF,AERFLG,PYGDLS,RBBFFI,NIQRKV
1528,RBBZGF,NIQXMF,LJFFLG,LEZDLS,JDRFFI,HXURKV
1529,NIQZGF,RBBXMF,LEZFLG,LJFDLS,HXUFFI,JDRRKV
1530,PYGZGF,AERXMF,HXUFLG,JDRDLS,LEZFFI,LJFRKV
1531,AERZGF,PYGXMF,JDRFLG,HXUDLS,LJFFFI,LEZRKV
1532,EFIZGF,BQYXMF,TYKFLG,UNTDLS,PVAFFI,IEMRKV
1533,BQYZGF,EFIXMF,UNTFLG,TYKDLS,IEMFFI,PVARKV
1534,MCWZGF,AHHXMF,IEMFLG,PVADLS,UNTFFI,TYKRKV
1535,AHHZGF,MCWXMF,PVAFLG,IEMDLS,TYKFFI,UNTRKV
1536,TYKZGF,UNTXMF,EFIFLG,BQYDLS,AHHFFI,MCWRKV
1537,UNTZGF,TYKXMF,BQYFLG,EFIDLS,MCWFFI,AHHRKV
1538,IEMZGF,PVAXMF,MCWFLG,AHHDLS,BQYFFI,EFIRKV
1539,PVAZGF,IEMXMF,AHHFLG,MCWDLS,EFIFFI,BQYRKV
1540,FCMZGF,OKTXMF,ZUPFLG,AFFDLS,UYRFFI,HKARKV
1541,OKTZGF,FCMXMF,AFFFLG,ZUPDLS,HKAFFI,UYRRKV
1542,JOYZGF,LTNXMF,HKAFLG,UYRDLS,AFFFFI,ZUPRKV
1543,LTNZGF,JOYXMF,UYRFLG,HKADLS,ZUPFFI,AFFRKV
1544,ZUPZGF,AFFXMF,FCMFLG,OKTDLS,LTNFFI,JOYRKV
1545,AFFZGF,ZUPXMF,OKTFLG,FCMDLS,JOYFFI,LTNRKV
1546,HKAZGF,UYRXMF,JOYFLG,LTNDLS,OKTFFI,FCMRKV
1547,UYRZGF,HKAXMF,LTNFLG,JOYDLS,FCMFFI,OKTRKV
1548,CDFZGF,FAEXMF,NSCFLG,ARRDLS,OLDFFI,KSLRKV
1549,FAEZGF,CDFXMF,ARRFLG,NSCDLS,KSLFFI,OLDRKV
1550,ZJEZGF,DDZXMF,KSLFLG,OLDDLS,ARRFFI,NSCRKV
1551,DDZZGF,ZJEXMF,OLDFLG,KSLDLS,NSCFFI,ARRRKV
1552,NSCZGF,ARRXMF,CDFFLG,FAEDLS,DDZFFI,ZJERKV
1553,ARRZGF,NSCXMF,FAEFLG,CDFDLS,ZJEFFI,DDZRKV
1554,KSLZGF,OLDXMF,ZJEFLG,DDZDLS,FAEFFI,CDFRKV
1555,OLDZGF,KSLXMF,DDZFLG,ZJEDLS,CDFFFI,FAERKV
1556,MKWZGF,ZVIXMF,MZDFLG,RCVDLS,FBMFFI,ZFMRKV
1557,ZVIZGF,MKWXMF,RCVFLG,MZDDLS,ZFMFFI,FBMRKV
1558,DUWZGF,USRXMF,ZFMFLG,FBMDLS,RCVFFI,MZDRKV
1559,USRZGF,DUWXMF,FBMFLG,ZFMDLS,MZDFFI,RCVRKV
1560,MZDZGF,RCVXMF,MKWFLG,ZVIDLS,USRFFI,DUWRKV
1561,RCVZGF,MZDXMF,ZVIFLG,MKWDLS,DUWFFI,USRRKV
1562,ZFMZGF,FBMXMF,DUWFLG,USRDLS,ZVIFFI,MKWRKV
1563,FBMZGF,ZFMXMF,USRFLG,DUWDLS,MKWFFI,ZVIRKV
1564,IFTZGF,YPJXMF,DHMFLG,LJQDLS,KUPFFI,ODCRKV
1565,YPJZGF,IFTXMF,LJQFLG,DHMDLS,ODCFFI,KUPRKV
1566,LSXZGF,WLNXMF,ODCFLG,KUPDLS,LJQFFI,DHMRKV
1567,WLNZGF,LSXXMF,KUPFLG,ODCDLS,DHMFFI,LJQRKV
1568,DHMZGF,LJQXMF,IFTFLG,YPJDLS,WLNFFI,LSXRKV
1569,LJQZGF,DHMXMF,YPJFLG,IFTDLS,LSXFFI,WLNRKV
1570,ODCZGF,KUPXMF,LSXFLG,WLNDLS,YPJFFI,IFTRKV
1571,KUPZGF,ODCXMF,WLNFLG,LSXDLS,IFTFFI,YPJRKV
1572,DDYZGF,NPXXMF,MJUFLG,TLYDLS,OSAFFI,RFIRKV
1573,NPXZGF,DDYXMF,TLYFLG,MJUDLS,RFIFFI,OSARKV
1574,LWRZGF,USKXMF,RFIFLG,OSADLS,TLYFFI,MJURKV
1575,USKZGF,LWRXMF,OSAFLG,RFIDLS,MJUFFI,TLYRKV
1576,MJUZGF,TLYXMF,DDYFLG,NPXDLS,USKFFI,LWRRKV
1577,TLYZGF,MJUXMF,NPXFLG,DDYDLS,LWRFFI,USKRKV
1578,RFIZGF,OSAXMF,LWRFLG,USKDLS,NPXFFI,DDYRKV
1579,OSAZGF,RFIXMF,USKFLG,LWRDLS,DDYFFI,NPXRKV
1580,FNJZGF,IHHXMF,MMMFLG,LJLDLS,QTRFFI,LSDRKV
1581,IHHZGF,FNJXMF,LJLFLG,MMMDLS,LSDFFI,QTRRKV
1582,HZCZGF,SAFXMF,LSDFLG,QTRDLS,LJLFFI,MMMRKV
1583,SAFZGF,HZCXMF,QTRFLG,LSDDLS,MMMFFI,LJLRKV
1584,MMMZGF,LJLXMF,FNJFLG,IHHDLS,SAFFFI,HZCRKV
1585,LJLZGF,MMMXMF,IHHFLG,FNJDLS,HZCFFI,SAFRKV
1586,LSDZGF,QTRXMF,HZCFLG,SAFDLS,IHHFFI,FNJRKV
1587,QTRZGF,LSDXMF,SAFFLG,HZCDLS,FNJFFI,IHHRKV
1588,BDVZGF,DJEXMF,MVQFLG,TLHDLS,CZIFFI,LUBRKV
1589,DJEZGF,BDVXMF,TLHFLG,MVQDLS,LUBFFI,CZIRKV
1590,XCCZGF,XQIXMF,LUBFLG,CZIDLS,TLHFFI,MVQRKV
1591,XQIZGF,XCCXMF,CZIFLG,LUBDLS,MVQFFI,TLHRKV
1592,MVQZGF,TLHXMF,BDVFLG,DJEDLS,XQIFFI,XCCRKV
1593,TLHZGF,MVQXMF,DJEFLG,BDVDLS,XCCFFI,XQIRKV
1594,LUBZGF,CZIXMF,XCCFLG,XQIDLS,DJEFFI,BDVRKV
1595,CZIZGF,LUBXMF,XQIFLG,XCCDLS,BDVFFI,DJERKV
1596,TMYZGF,XKIXMF,LQJFLG,EWVDLS,VIBFFI,OAPRKV
1597,XKIZGF,TMYXMF,EWVFLG,LQJDLS,OAPFFI,VIBRKV
1598,ZROZGF,FNZXMF,OAPFLG,VIBDLS,EWVFFI,LQJRKV
1599,FNZZGF,ZROXMF,VIBFLG,OAPDLS,LQJFFI,EWVRKV
1600,BAAHHS,FACYZF,HSBYHY,WOYSLP,VFCXCJ,YUPVRU
1601,FACHHS,BAAYZF,WOYYHY,HSBSLP,YUPXCJ,VFCVRU
1602,ZEUHHS,ZNZYZF,YUPYHY,VFCSLP,WOYXCJ,HSBVRU
1603,ZNZHHS,ZEUYZF,VFCYHY,YUPSLP,HSBXCJ,WOYVRU
1604,HSBHHS,WOYYZF,BAAYHY,FACSLP,ZNZXCJ,ZEUVRU
1605,WOYHHS,HSBYZF,FACYHY,BAASLP,ZEUXCJ,ZNZVRU
1606,YUPHHS,VFCYZF,ZEUYHY,ZNZSLP,FACXCJ,BAAVRU
1607,VFCHHS,YUPYZF,ZNZYHY,ZEUSLP,BAAXCJ,FACVRU
1608,IFFHHS,VKRYZF,YOOYHY,FYWSLP,FGZXCJ,FMXVRU
1609,VKRHHS,IFFYZF,FYWYHY,YOOSLP,FMXXCJ,FGZVRU
1610,SLDHHS,GLFYZF,FMXYHY,FGZSLP,FYWXCJ,YOOVRU
1611,GLFHHS,SLDYZF,FGZYHY,FMXSLP,YOOXCJ,FYWVRU
1612,YOOHHS,FYWYZF,IFFYHY,VKRSLP,GLFXCJ,SLDVRU
1613,FYWHHS,YOOYZF,VKRYHY,IFFSLP,SLDXCJ,GLFVRU
1614,FMXHHS,FGZYZF,SLDYHY,GLFSLP,VKRXCJ,IFFVRU
1615,FGZHHS,FMXYZF,GLFYHY,SLDSLP,IFFXCJ,VKRVRU
1616,SHHHHS,FZYYZF,YHYYHY,PLSSLP,JCXXCJ,URVVRU
1617,FZYHHS,SHHYZF,PLSYHY,YHYSLP,URVXCJ,JCXVRU
1618,LWHHHS,RWMYZF,URVYHY,JCXSLP,PLSXCJ,YHYVRU
1619,RWMHHS,LWHYZF,JCXYHY,URVSLP,YHYXCJ,PLSVRU
1620,YHYHHS,PLSYZF,SHHYHY,FZYSLP,RWMXCJ,LWHVRU
1621,PLSHHS,YHYYZF,FZYYHY,SHHSLP,LWHXCJ,RWMVRU
1622,URVHHS,JCXYZF,LWHYHY,RWMSLP,FZYXCJ,SHHVRU
1623,JCXHHS,URVYZF,RWMYHY,LWHSLP,SHHXCJ,FZYVRU
1624,LJFHHS,LEZYZF,RBBYHY,NIQSLP,AERXCJ,PYGVRU
1625,LEZHHS,LJFYZF,NIQYHY,RBBSLP,PYGXCJ,AERVRU
1626,HXUHHS,JDRYZF,PYGYHY,AERSLP,NIQXCJ,RBBVRU
1627,JDRHHS,HXUYZF,AERYHY,PYGSLP,RBBXCJ,NIQVRU
1628,RBBHHS,NIQYZF,LJFYHY,LEZSLP,JDRXCJ,HXUVRU
1629,NIQHHS,RBBYZF,LEZYHY,LJFSLP,HXUXCJ,JDRVRU
1630,PYGHHS,AERYZF,HXUYHY,JDRSLP,LEZXCJ,LJFVRU
1631,AERHHS,PYGYZF,JDRYHY,HXUSLP,LJFXCJ,LEZVRU
1632,EFIHHS,BQYYZF,TYKYHY,UNTSLP,PVAXCJ,IEMVRU
1633,BQYHHS,EFIYZF,UNTYHY,TYKSLP,IEMXCJ,PVAVRU
1634,MCWHHS,AHHYZF,IEMYHY,PVASLP,UNTXCJ,TYKVRU
1635,AHHHHS,MCWYZF,PVAYHY,IEMSLP,TYKXCJ,UNTVRU
1636,TYKHHS,UNTYZF,EFIYHY,BQYSLP,AHHXCJ,MCWVRU
1637,UNTHHS,TYKYZF,BQYYHY,EFISLP,MCWXCJ,AHHVRU
1638,IEMHHS,PVAYZF,MCWYHY,AHHSLP,BQYXCJ,EFIVRU
1639,PVAHHS,IEMYZF,AHHYHY,MCWSLP,EFIXCJ,BQYVRU
1640,FCMHHS,OKTYZF,ZUPYHY,AFFSLP,UYRXCJ,HKAVRU
1641,OKTHHS,FCMYZF,AFFYHY,ZUPSLP,HKAXCJ,UYRVRU
1642,JOYHHS,LTNYZF,HKAYHY,UYRSLP,AFFXCJ,ZUPVRU
1643,LTNHHS,JOYYZF,UYRYHY,HKASLP,ZUPXCJ,AFFVRU
1644,ZUPHHS,AFFYZF,FCMYHY,OKTSLP,LTNXCJ,JOYVRU
1645,AFFHHS,ZUPYZF,OKTYHY,FCMSLP,JOYXCJ,LTNVRU
1646,HKAHHS,UYRYZF,JOYYHY,LTNSLP,OKTXCJ,FCMVRU
1647,UYRHHS,HKAYZF,LTNYHY,JOYSLP,FCMXCJ,OKTVRU
1648,CDFHHS,FAEYZF,NSCYHY,ARRSLP,OLDXCJ,KSLVRU
1649,FAEHHS,CDFYZF,ARRYHY,NSCSLP,KSLXCJ,OLDVRU
1650,ZJEHHS,DDZYZF,KSLYHY,OLDSLP,ARRXCJ,NSCVRU
1651,DDZHHS,ZJEYZF,OLDYHY,KSLSLP,NSCXCJ,ARRVRU
1652,NSCHHS,ARRYZF,CDFYHY,FAESLP,DDZXCJ,ZJEVRU
1653,ARRHHS,NSCYZF,FAEYHY,CDFSLP,ZJEXCJ,DDZVRU
1654,KSLHHS,OLDYZF,ZJEYHY,DDZSLP,FAEXCJ,CDFVRU
1655,OLDHHS,KSLYZF,DDZYHY,ZJESLP,CDFXCJ,FAEVRU
1656,MKWHHS,ZVIYZF,MZDYHY,RCVSLP,FBMXCJ,ZFMVRU
1657,ZVIHHS,MKWYZF,RCVYHY,MZDSLP,ZFMXCJ,FBMVRU
1658,DUWHHS,USRYZF,ZFMYHY,FBMSLP,RCVXCJ,MZDVRU
1659,USRHHS,DUWYZF,FBMYHY,ZFMSLP,MZDXCJ,RCVVRU
1660,MZDHHS,RCVYZF,MKWYHY,ZVISLP,USRXCJ,DUWVRU
1661,RCVHHS,MZDYZF,ZVIYHY,MKWSLP,DUWXCJ,USRVRU
1662,ZFMHHS,FBMYZF,DUWYHY,USRSLP,ZVIXCJ,MKWVRU
1663,FBMHHS,ZFMYZF,USRYHY,DUWSLP,MKWXCJ,ZVIVRU
1664,IFTHHS,YPJYZF,DHMYHY,LJQSLP,KUPXCJ,ODCVRU
1665,YPJHHS,IFTYZF,LJQYHY,DHMSLP,ODCXCJ,KUPVRU
1666,LSXHHS,WLNYZF,ODCYHY,KUPSLP,LJQXCJ,DHMVRU
1667,WLNHHS,LSXYZF,KUPYHY,ODCSLP,DHMXCJ,LJQVRU
1668,DHMHHS,LJQYZF,IFTYHY,YPJSLP,WLNXCJ,LSXVRU
1669,LJQHHS,DHMYZF,YPJYHY,IFTSLP,LSXXCJ,WLNVRU
